materialType,video_minutes,pics,words,_id.$oid
lab,0.0,3.0,475.0,62a85e06276f476974c2a0d7
lecture,0.0,0.0,390.0,62a85e96276f476974c2a0d8
lecture,0.0,11.0,2079.0,62a85e99276f476974c2a0d9
test,0.0,0.0,183.0,62a85ea2276f476974c2a0f7
course,,,,62a85ea3276f476974c2a0f8
lecture,0.0,6.0,1875.0,62a85ea6276f476974c2a0f9
test,0.0,0.0,63.0,62a85eae276f476974c2a106
lecture,0.0,0.0,3724.0,62a85eb0276f476974c2a107
lab,0.0,7.0,742.0,62a85eb5276f476974c2a108
lab,0.0,2.0,352.0,62a85ebe276f476974c2a109
lab,0.0,2.0,330.0,62a85ec4276f476974c2a10a
test,0.0,0.0,112.0,62a85eca276f476974c2a117
lecture,0.0,10.0,3464.0,62a85ecc276f476974c2a118
lab,0.0,0.0,635.0,62a85ed6276f476974c2a119
test,0.0,0.0,120.0,62a85eda276f476974c2a12e
lecture,0.0,7.0,1171.0,62a85edd276f476974c2a12f
test,0.0,0.0,80.0,62a85eea276f476974c2a139
lecture,0.0,2.0,1697.0,62a85eed276f476974c2a13a
lab,0.0,9.0,497.0,62a85ef2276f476974c2a13b
test,0.0,0.0,31.0,62a85efc276f476974c2a141
course,,,,62a85efd276f476974c2a142
lecture,0.0,0.0,978.0,62a85f00276f476974c2a143
lab,0.0,6.0,554.0,62a85f06276f476974c2a144
test,0.0,0.0,78.0,62a85f0d276f476974c2a151
lecture,0.0,0.0,1264.0,62a85f10276f476974c2a152
test,0.0,0.0,88.0,62a85f13276f476974c2a15f
lecture,0.0,0.0,1084.0,62a85f15276f476974c2a160
lab,0.0,8.0,449.0,62a85f19276f476974c2a161
test,0.0,0.0,89.0,62a85f23276f476974c2a16b
lecture,0.0,0.0,1242.0,62a85f26276f476974c2a16c
test,0.0,0.0,62.0,62a85f28276f476974c2a179
lecture,0.0,0.0,1225.0,62a85f2b276f476974c2a17a
lab,0.0,4.0,418.0,62a85f2f276f476974c2a17b
lab,0.0,4.0,560.0,62a85f36276f476974c2a17c
lab,0.0,5.0,617.0,62a85f3d276f476974c2a17d
test,0.0,0.0,76.0,62a85f44276f476974c2a18d
lecture,0.0,0.0,774.0,62a85f47276f476974c2a18e
test,0.0,0.0,63.0,62a85f4b276f476974c2a19b
course,,,,62a85f4c276f476974c2a19c
lecture,0.0,0.0,1006.0,62a85f4f276f476974c2a19d
lab,0.0,0.0,376.0,62a85f57276f476974c2a19e
test,0.0,0.0,192.0,62a85f5b276f476974c2a1af
lecture,0.0,1.0,1356.0,62a85f5e276f476974c2a1b0
lab,0.0,1.0,789.0,62a85f63276f476974c2a1b1
test,0.0,0.0,136.0,62a85f68276f476974c2a1be
course,,,,62a85f69276f476974c2a1bf
lecture,0.0,3.0,1507.0,62a85f6d276f476974c2a1c0
test,0.0,0.0,81.0,62a85f72276f476974c2a1cd
lecture,0.0,1.0,3031.0,62a85f75276f476974c2a1ce
lab,0.0,3.0,277.0,62a85f7d276f476974c2a1cf
lab,0.0,4.0,472.0,62a85f84276f476974c2a1d0
lab,0.0,1.0,420.0,62a85f8a276f476974c2a1d1
test,0.0,0.0,86.0,62a85f93276f476974c2a1da
lecture,0.0,0.0,868.0,62a85f95276f476974c2a1db
test,0.0,0.0,102.0,62a85f9e276f476974c2a1e8
course,,,,62a85f9f276f476974c2a1e9
lecture,0.0,0.0,739.0,62a85fa2276f476974c2a1ea
test,0.0,0.0,185.0,62a85fad276f476974c2a1fb
lecture,0.0,1.0,1866.0,62a85fb0276f476974c2a1fc
test,0.0,0.0,133.0,62a85fb5276f476974c2a209
course,,,,62a85fb6276f476974c2a20a
course,,,,62a85fb7276f476974c2a20b
lab,0.0,1.0,226.0,639721d8c955cd1511b772f2
